Zip_Code,Percent_Below_Poverty,Households_Median_Income,Unemployment_Rate
19140,41.0,22790,16.0
19137,17.5,53255,5.2
19136,17.9,51101,9.8
19106,7.4,107388,3.5
19141,28.2,32388,14.5
19145,20.1,46540,10.7
19147,11.0,81519,5.3
19118,5.7,89422,4.3
19121,48.3,21201,15.7
19128,9.5,74564,5.0
19131,30.2,37345,7.9
19135,20.1,45589,10.8
19102,13.4,96953,4.8
19113,12.5,-666666666,19.0
19122,32.1,37198,11.7
19129,15.3,79034,2.2
19133,46.3,20353,18.4
19144,31.1,34075,10.7
19130,10.1,84308,3.8
19153,21.1,48177,7.7
19154,8.0,67392,5.8
19152,15.8,52321,6.1
19138,23.2,41105,13.3
19139,34.5,30633,12.1
19146,15.4,69305,5.8
19112,-666666666.0,-666666666,-666666666.0
19124,35.9,33611,13.9
19103,9.1,76103,2.9
19104,44.1,26979,7.4
19114,10.6,60970,5.6
19119,9.4,64237,7.5
19125,15.3,72990,6.6
19127,17.5,75647,4.2
19107,22.7,57735,3.0
19126,21.7,44006,12.9
19132,38.6,21600,12.6
19134,39.6,31533,13.0
19150,12.7,47968,10.4
19116,14.8,57126,5.8
19115,11.7,55621,7.1
19120,30.4,37360,13.0
19109,-666666666.0,-666666666,-666666666.0
19111,16.6,51051,7.5
19123,18.5,78444,5.2
19142,32.6,33265,13.4
19143,29.9,34579,12.4
19148,21.2,52001,7.8
19149,22.2,45253,9.9
19151,20.3,49788,8.2
